AMR
"(d / dismiss-01
                              :mod (p4 / product
                                    :name (n / name
                                          :op1 ""Covid-19""))
                              :mod (c2 / current))))))"
"(u / use-01
      :ARG0 (a / anyone)
      :ARG1 (r / refer-01
            :ARG1 (o / organization
                  :name (n / name
                        :op1 ""PKU"")))
      :ARG2 (o2 / or
            :op1 (g / get-01
                  :ARG0 a
                  :ARG1 (f / food
                        :mod (e / extra))
                  :ARG2 (s / supermarket))
            :op2 (r2 / request-01
                  :ARG0 a
                  :ARG1 f
                  :ARG2 s))
      :polarity (a2 / amr-unknown)
      :time (y / yet)
      :mod (v / virus
            :name n
            :op1 ""coronavirus""))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (ii / i)
            :ARG1 (ii2 / infect-01
                  :ARG1 ii
                  :ARG2 (r / respire-01
                        :ARG0 ii)
                  :time (a / after
                        :op1 (c / contact-01
                              :ARG0 ii
                              :ARG1-of (r2 / risky-02)
                              :location (s2 / supermarket))
                        :quant (t / temporal-quantity
                              :quant 5
                              :unit (d / day)
                              :mod (e / exact))))
            :ARG2 (p / person
                  :name (n / name
                        :op1 ""Barrettvet"")))
      :snt2 (s3 / suspect-01
            :ARG0 (ii3 / i)
            :ARG1 (f / form
                  :mod (d2 / disease
                        :name (n2 / name
                              :op1 ""CoVID-19"")))
            :ARG0-of (c2 / cause-01
                  :ARG1 (d3 / download-01
                        :ARG0 ii3
                        :ARG1 (a2 / app))))
      :snt3 (t2 / thank-01
            :ARG0 (ii4 / i)
            :ARG1 (y / you)))"
"(r / read-01
      :mode imperative
      :polite +
      :ARG0 (y / you)
      :location (o / on)
      :condition (b / business
            :mod (s / small)
            :ARG0-of (f / feel-01
                  :ARG1 (c / cripple-01
                        :ARG0 (l / lock-down-06
                              :mod (t / this))
                        :ARG1 b))
            :domain y))"
"(a / and
      :op1 (s / shop-01
            :ARG0 (y / you)
            :ARG1 (s2 / supermarket
                  :ARG1-of (l / local-02
                        :ARG2 y)))
      :op2 (s3 / start-01
            :ARG0 y
            :ARG1 (f / fit-04
                  :ARG1 y
                  :ARG2 (c / cough-01
                        :ARG0 y)
                  :ARG1-of (m / minor-01))))"
"(m / multi-sentence
      :snt1 (r / rise-01
            :ARG1 (t / thing
                  :name (n / name
                        :op1 ""SPP"")
                  :mod (s / specification
                        :mod (o / organization
                              :name (n2 / name
                                    :op1 ""EU""))))
            :ARG2 (m2 / monetary-quantity
                  :quant 0.24
                  :unit (p / pound))
            :ARG4 (a / average-01
                  :ARG1 t
                  :ARG2 (r2 / rate-entity-91
                        :ARG1 (m3 / monetary-quantity
                              :quant 163.39
                              :unit (p2 / pound))
                        :ARG2 (m4 / mass-quantity
                              :quant 1
                              :unit (k / kilogram))))
            :time (w / week
                  :ARG1-of (e / end-01
                        :ARG2 (d / date-entity
                              :day 28
                              :month 3))))
      :snt2 (a2 / appear-02
            :ARG1 (c / cope-01
                  :ARG0 (c2 / chain
                        :ARG0-of (s2 / supply-01))
                  :ARG1 (a3 / and
                        :op1 (v / virus
                              :mod (c3 / coronavirus))
                        :op2 (s3 / shift-01
                              :ARG1 (d2 / demand-01)
                              :ARG2 (s4 / supermarket)
                              :ARG3 (s5 / serve-01
                                    :ARG1 (f / food))
                              :mod (d3 / dramatic)))
                  :ARG1-of (w2 / well-09))))"
"(c / cover-02
      :ARG0 (w / we)
      :ARG1 (y / you)
      :condition (w2 / want-01
            :ARG0 y
            :ARG1 (c2 / check-01
                  :ARG0 y
                  :ARG1 (t / thing
                        :manner-of (a / affect-01
                              :ARG0 (s / spend-01
                                    :ARG0 (p / person
                                          :ARG0-of (c3 / consume-01)))
                              :ARG1 (a2 / and
                                    :op1 (ii / industry
                                          :mod (a3 / any))
                                    :op2 (g / geography
                                          :mod (a4 / any))))))))"
"(l / look-01
      :mode imperative
      :ARG0 (y / you)
      :ARG1 (ii / inside
            :op1 (s / store
                  :mod (g / grocery)
                  :mod (s2 / small)
                  :location (c / city
                        :name (n / name
                              :op1 ""Livonia""))))
      :time (d / deal-01
            :ARG0 s
            :ARG2 (d2 / demand-01
                  :ARG1-of (ii2 / increase-01)
                  :time (w / week
                        :mod (p / past)))
            :ARG1-of (c2 / cause-01
                  :ARG0 (v / virus
                        :mod (c3 / coronavirus))))
      :medium (u / url-entity
            :value ""https://t.co/GuttBvrweZ""))"
"(f / fail-01
      :ARG1 (b / business
            :mod (p / physical))
      :ARG1-of (c / cause-01
            :ARG0 (c2 / coronavirus)))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (r / resemble-01
                  :polarity -
                  :mode imperative
                  :ARG1 (y / you)
                  :ARG2 (ii / i))
            :op2 (g / go-02
                  :mode imperative
