AMR
"(m / multi-sentence
            :ARG1 q)
      :snt4 (a2 / and
            :op1 (v / virus
                  :name (n2 / name
                        :op1 ""Coronavirus""))
            :op2 (v2 / virus
                  :name (n3 / name
                        :op1 ""COVID19""))
            :op3 (v3 / virus
                  :name (n4 / name
                        :op1 ""Coronavirusuk""))
            :medium (u / url-entity
                  :value ""https://t.co/m1vL1hzc7q"")))"
"(h / hyperlink-91
      :ARG1 (s / say-01
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""Transurban""))
            :ARG1 (h2 / hike-02
                  :ARG0 c
                  :ARG1 (m / monetary-quantity
                        :ARG2-of (p / price-01
                              :ARG1 (t / toll)
                              :ARG3 (p2 / person
                                    :ARG0-of (d / drive-01
                                          :ARG1 (a / automobile)))))
                  :concession (c2 / coronavirus))
            :ARG3 (u / url-entity
                  :value ""https://t.co/TxI5wsS6GG"")
            :medium c
            :name (n2 / name
                  :op1 ""MailOnline""))
      :ARG3 (a2 / and
            :op1 (t2 / toll)
            :op2 (t3 / truckroads)
            :op3 (t4 / trucking)
            :op4 (p3 / person
                  :ARG0-of (t5 / truck-01))
            :op5 (ii / infrastructure)
            :op6 (t6 / transport-01)
            :op7 (c3 / city
                  :name (n3 / name
                        :op1 ""Transurban""))
            :op8 c2))"
"(m / multi-sentence
      :snt1 (p / possible-01
            :polarity (a / amr-unknown)
            :ARG1 (h / help-01
                  :ARG0 (y / you)
                  :ARG2 (w / we)
                  :degree (b / big)
                  :time (n / now
                        :mod (r / right)))
            :ARG1-of (r2 / request-confirmation-91))
      :snt2 (r3 / retard-01
            :ARG1 (a2 / and
                  :op1 (v / virus
                        :mod (c / coronavirus))
                  :op2 (p2 / pandemic)
                  :op3 (q / quarantine-01)
                  :op4 (h2 / help-01
                        :mode imperative
                        :polite +
                        :ARG0 (y2 / you))
                  :op5 (h3 / help-01
                        :mode imperative
                        :polite +
                        :ARG0 y2)
                  :op6 (c2 / companion
                        :ARG0-of (q2 / quarantine-01))
                  :op7 (l / love-01
                        :ARG1 (d / dog))
                  :op8 (p3 / person
                        :ARG0-of l
                        :ARG1 (d2 / dog)))
            :op9 (p4 / paper
                  :purpose (t / toilet))
            :op10 (h4 / handwasher)
            :op11 (f / facemask)
            :op12 (h5 / help-01
                  :mode imperative
                  :polite +
                  :ARG0 y2)
            :op13 (h6 / help-01
                  :mode imperative
                  :polite +
                  :ARG0 y2)
            :op14 (h7 / help-01
                  :mode imperative
                  :polite +
                  :ARG0 y2)
            :op15 (h8 / help-01
                  :mode imperative
                  :polite +
                  :ARG0 y2
                  :ARG1 (s / string-entity
                        :value ""BDRR""))))"
"(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (r / recommend-01
                  :ARG1 (s / stay-01
                        :ARG1 (ii / i)
                        :ARG3 (ii2 / inside)))
            :ARG2 (o / obligate-01
                  :ARG2 (w / wait-01
                        :ARG1 ii
                        :ARG2 (g / get-05
                              :ARG1 ii
                              :ARG2 ii2
                              :purpose (b / buy-01
                                    :ARG0 ii
                                    :ARG1 (f / food
                                          :ARG1-of (c2 / crap-01)
                                          :ARG1-of (l / leave-17)
                                          :example (a / and
                                                :op1 (c3 / cookie
                                                      :name (n / name
                                                            :op1 ""Maria""))
                                                :op2 (d / drink
                                                      :name (n2 / name
                                                            :op1 ""Tampico""
                                                            :op2 ""Orange"")
                                                      :mod (o2 / orange))))
                                    :ARG2 (s2 / store
                                          :mod (g2 / grocery))
                                    :mod (j / just)))
                        :duration (t / temporal-quantity
                              :quant 2
                              :unit (h / hour))
                        :location (c4 / close-10
                              :ARG1 ii
                              :ARG2 (o3 / other)))))
      :snt2 (w2 / world
            :mod (ii3 / idea
                  :mod (g3 / great)))
      :snt3 (m2 / meat
            :polarity -)
      :snt4 (w3 / water
            :polarity -)
      :snt5 (s3 / slash
            :op1 (f2 / fruit)
            :op2 (v / vegetable)
            :polarity -)
      :snt6 (v2 / virus
            :mod (c5 / coronavirus)))"
"(m / multi-sentence
      :snt1 (a / add-02
            :ARG0 (o / organization
                  :name (n / name
                        :op1 ""NSFTCrisis""))
            :ARG1 (c / company
                  :name (n2 / name
                        :op1 ""VodafoneUK""))
            :ARG2 (l / list-01
                  :mod (t / this)))
      :snt2 (ii / increase-01
            :ARG1 (m2 / monetary-quantity
                  :ARG2-of (p / price-01
                        :ARG0 (t2 / they)))
            :time (p2 / pandemic
                  :mod (v / virus
                        :name (n3 / name
                              :op1 ""Coronavirus""))))
      :snt3 (ii2 / imagine-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (p3 / profit-01
                  :ARG0 (c2 / company
